"Color Name";"Color Number";"Hex";"RGB"
"Purple Prophet";"DE5983";"#BB9ECA";"rgb(187, 158, 202)"
"Cloudy Plum";"DE5984";"#9D7AAC";"rgb(157, 122, 172)"
"Plum Power";"DE5985";"#7E5E8D";"rgb(126, 94, 141)"
"Your Majesty";"DE5986";"#61496E";"rgb(97, 73, 110)"
"Soft Lavender";"DE5987";"#F6E5F6";"rgb(246, 229, 246)"
"Lavender Princess";"DE5988";"#E9D2EF";"rgb(233, 210, 239)"
"Pretty Petunia";"DE5989";"#D6B7E2";"rgb(214, 183, 226)"
"Amethyst Show";"DE5990";"#BD97CF";"rgb(189, 151, 207)"
"Purple Pride";"DE5991";"#A274B5";"rgb(162, 116, 181)"
"Cabaret";"DE5992";"#845998";"rgb(132, 89, 152)"
"Palace Purple";"DE5993";"#68457A";"rgb(104, 69, 122)"
"Partial Pink";"DE5994";"#FFEDF8";"rgb(255, 237, 248)"
"Grape Taffy";"DE5995";"#F4DAF1";"rgb(244, 218, 241)"
"Prom Corsage";"DE5996";"#E7C3E7";"rgb(231, 195, 231)"
"Favorite Lavender";"DE5997";"#D3A5D6";"rgb(211, 165, 214)"
"Lavender Sweater";"DE5998";"#BD83BE";"rgb(189, 131, 190)"
"Royal Pretender";"DE5999";"#A063A1";"rgb(160, 99, 161)"
"Vibrant Orchid";"DE6000";"#804B81";"rgb(128, 75, 129)"
"Cherry Blossoms";"DE6001";"#F9E7F4";"rgb(249, 231, 244)"
"Infatuation";"DE6002";"#F0D5EA";"rgb(240, 213, 234)"
"Sweetie Pie";"DE6003";"#E1BBDB";"rgb(225, 187, 219)"
"Prize Winning Orchid";"DE6004";"#CC9DC6";"rgb(204, 157, 198)"
"Victorian Violet";"DE6005";"#B079A7";"rgb(176, 121, 167)"
"Plum Perfect";"DE6006";"#915D88";"rgb(145, 93, 136)"
"Old-Fashioned Purple";"DE6007";"#73486B";"rgb(115, 72, 107)"
"Teatime Mauve";"DEC700";"#C8A89E";"rgb(200, 168, 158)"
"Revival Rose";"DEC701";"#C09084";"rgb(192, 144, 132)"
"Antique Rose";"DEC702";"#997165";"rgb(153, 113, 101)"
"Retro Peach";"DEC703";"#E7C0AD";"rgb(231, 192, 173)"
"Moenkopi Tan";"DEC704";"#C8A692";"rgb(200, 166, 146)"
"Burnt Crimson";"DEC705";"#784D4C";"rgb(120, 77, 76)"
"Rosewood";"DEC706";"#9B6957";"rgb(155, 105, 87)"
"Foxtail";"DEC707";"#BC896E";"rgb(188, 137, 110)"
"Sunset Cove";"DEC708";"#DCB397";"rgb(220, 179, 151)"
"Adobe South";"DEC709";"#E5C1A7";"rgb(229, 193, 167)"
"Peach";"DEC710";"#FADFC7";"rgb(250, 223, 199)"
"Cliff Brown";"DEC711";"#D0AB8C";"rgb(208, 171, 140)"
"Briar";"DEC712";"#745443";"rgb(116, 84, 67)"
"Roman Brick";"DEC713";"#AB7F5B";"rgb(171, 127, 91)"
"Friar Tuck";"DEC714";"#DDB994";"rgb(221, 185, 148)"
"Sandal";"DEC715";"#C8AE96";"rgb(200, 174, 150)"
"Stonish Beige";"DEC716";"#CCB49A";"rgb(204, 180, 154)"
"Baked Potato";"DEC717";"#B69E87";"rgb(182, 158, 135)"
"Mesa Tan";"DEC718";"#A78B71";"rgb(167, 139, 113)"
"Coral Clay";"DEC719";"#C2B1A1";"rgb(194, 177, 161)"
"Cliff's View";"DEC720";"#DDC5AA";"rgb(221, 197, 170)"
"Slopes";"DEC721";"#D2B698";"rgb(210, 182, 152)"
"Baja White";"DEC722";"#F4E1C5";"rgb(244, 225, 197)"
"Champagne";"DEC723";"#F3DEBC";"rgb(243, 222, 188)"
"Spanish White";"DEC724";"#FFE8C7";"rgb(255, 232, 199)"
"Weathered Coral";"DEC725";"#EAD0A9";"rgb(234, 208, 169)"
"Adobe";"DEC726";"#D1B791";"rgb(209, 183, 145)"
"Valley Flower";"DEC727";"#FFDD9D";"rgb(255, 221, 157)"
"Madera";"DEC728";"#EED09D";"rgb(238, 208, 157)"
"Medallion";"DEC729";"#C3A679";"rgb(195, 166, 121)"
"Alluring Umber";"DEC730";"#977B4D";"rgb(151, 123, 77)"
"Highlight Gold";"DEC731";"#DFC16D";"rgb(223, 193, 109)"
"Aspen Yellow";"DEC732";"#F6DF9F";"rgb(246, 223, 159)"
"Solar Wind ";"DEC733";"#FCE9B9";"rgb(252, 233, 185)"
"Jasmine";"DEC734";"#FFF4BB";"rgb(255, 244, 187)"
"Flaxen";"DEC735";"#FBECC9";"rgb(251, 236, 201)"
"Flaxseed";"DEC736";"#F7E6C6";"rgb(247, 230, 198)"
"Jakarta";"DEC737";"#EFDDC3";"rgb(239, 221, 195)"
"Travertine";"DEC738";"#DFC6AA";"rgb(223, 198, 170)"
"Golden Gate";"DEC739";"#D9C09C";"rgb(217, 192, 156)"
"Sandcastle";"DEC740";"#E5D7C4";"rgb(229, 215, 196)"
"Bone White";"DEC741";"#EBDECC";"rgb(235, 222, 204)"
"Cameo";"DEC742";"#F2DEBC";"rgb(242, 222, 188)"
"High Noon";"DEC743";"#CFB999";"rgb(207, 185, 153)"
"Celtic Linen";"DEC744";"#F5E5CE";"rgb(245, 229, 206)"
"Chaparral";"DEC745";"#E5D0B0";"rgb(229, 208, 176)"
"Apache Tan";"DEC746";"#D5BFA5";"rgb(213, 191, 165)"
"Sahara";"DEC747";"#D5C3AD";"rgb(213, 195, 173)"
"Oyster";"DEC748";"#E3D3BF";"rgb(227, 211, 191)"
"Linen White";"DEC749";"#E9DCD1";"rgb(233, 220, 209)"
