"Color Name";"Color Number";"Hex";"RGB"
"Fuchsia";"772";"#C74D89";"rgb(199, 77, 137)"
"Telemagenta";"773";"#BA3772";"rgb(186, 55, 114)"
"Cyclamen";"715";"#B92662";"rgb(185, 38, 98)"
"Dark Pink";"768";"#B42E6B";"rgb(180, 46, 107)"
"Lilac";"776";"#BF9CC4";"rgb(191, 156, 196)"
"Lavender";"775";"#7E6AAB";"rgb(126, 106, 171)"
"Violet";"717";"#5B3F8B";"rgb(91, 63, 139)"
"Purple";"777";"#5E386A";"rgb(94, 56, 106)"
"Light Blue";"732";"#53AFD7";"rgb(83, 175, 215)"
"Sky Blue";"784";"#0098D2";"rgb(0, 152, 210)"
"Pastel Blue";"782";"#0B87BA";"rgb(11, 135, 186)"
"Euro Blue";"709-01";"#008BBC";"rgb(0, 139, 188)"
"Ocean Blue";"709";"#008AC1";"rgb(0, 138, 193)"
"Azure Blue";"751";"#0076B7";"rgb(0, 118, 183)"
"Dodger Blue";"741-01";"#0074B5";"rgb(0, 116, 181)"
"Scuba Blue";"741";"#0066AD";"rgb(0, 102, 173)"
"Cosmos Blue";"708";"#005594";"rgb(0, 85, 148)"
"Ultramarine Blue";"752";"#05438D";"rgb(5, 67, 141)"
"Blue";"733";"#00557A";"rgb(0, 85, 122)"
"Delft Blue";"795";"#00497E";"rgb(0, 73, 126)"
"Brillant Blue";"753";"#284CBF";"rgb(40, 76, 191)"
"Classic Blue";"793";"#1D2F83";"rgb(29, 47, 131)"
"Middle Blue";"794";"#133B82";"rgb(19, 59, 130)"
"King Blue";"785";"#1F357E";"rgb(31, 53, 126)"
"Royal Blue";"754";"#233A82";"rgb(35, 58, 130)"
"Midnight Blue";"792";"#192D71";"rgb(25, 45, 113)"
"Denim Blue";"747-01";"#043672";"rgb(4, 54, 114)"
"Marine Blue";"747";"#0A356F";"rgb(10, 53, 111)"
"Ink Blue";"789";"#223664";"rgb(34, 54, 100)"
"Deep Blue";"791";"#1D285C";"rgb(29, 40, 92)"
"Dark Blue";"723";"#222C64";"rgb(34, 44, 100)"
"Scandinavia Blue";"783";"#0F2D58";"rgb(15, 45, 88)"
"Cobalt Blue";"724";"#141F40";"rgb(20, 31, 64)"
"Steel Blue";"724-02";"#152146";"rgb(21, 33, 70)"
"Alfa Blue";"724-01";"#16253B";"rgb(22, 37, 59)"
