"Color Name";"Color Number";"Hex";"RGB"
"Cattle Drive";"2007-5A";"#B77658";"rgb(183, 118, 88)"
"Clove Bud";"2004-5B";"#C38162";"rgb(195, 129, 98)"
"Caramel Cream";"2009-2";"#C56E39";"rgb(197, 110, 57)"
"Caramel Toffee";"3009-7";"#B47B4D";"rgb(180, 123, 77)"
"Wet Riverbanks";"3011-4";"#B6793D";"rgb(182, 121, 61)"
"Amber Sienna";"3003-5A";"#BA854D";"rgb(186, 133, 77)"
"Garden Ochre";"3005-5A";"#B7874C";"rgb(183, 135, 76)"
"Pumpkin Squash";"3009-5";"#B88541";"rgb(184, 133, 65)"
"Mixed Potpourri";"3010-4";"#B18A52";"rgb(177, 138, 82)"
"Camel Ride";"3005-7A";"#B18A52";"rgb(177, 138, 82)"
"Fiesta";"2008-5A";"#B66B46";"rgb(182, 107, 70)"
"Orange Glaze";"3009-6";"#B66A3E";"rgb(182, 106, 62)"
"Autumn Surprise";"3011-5";"#9D6C40";"rgb(157, 108, 64)"
"Praline Cake";"3004-7A";"#A4794D";"rgb(164, 121, 77)"
"Toasted Wheat";"3001-2B";"#FFDD97";"rgb(255, 221, 151)"
"Peach Tickle";"3002-2B";"#FFE3A1";"rgb(255, 227, 161)"
"Fruit Compote";"3004-2A";"#FFE190";"rgb(255, 225, 144)"
"Sunglow";"3003-2B";"#FFE59E";"rgb(255, 229, 158)"
"Hazy Dawn";"3004-2B";"#FEE8AC";"rgb(254, 232, 172)"
"Toasted Oat";"3005-4A";"#F9E098";"rgb(249, 224, 152)"
"Like Butter";"3005-2A";"#FEE59C";"rgb(254, 229, 156)"
"Tangy Lemon";"3006-2A";"#FEE284";"rgb(254, 226, 132)"
"Lemon Twist";"3006-2B";"#FDE9A1";"rgb(253, 233, 161)"
"Lemon Curd";"3007-2A";"#FDE581";"rgb(253, 229, 129)"
"Butterscotch Cream";"2008-2A";"#FFD78C";"rgb(255, 215, 140)"
"Maple Cream";"3003-4B";"#FDDDA8";"rgb(253, 221, 168)"
"Toasted Pecan";"3002-2A";"#FFDA89";"rgb(255, 218, 137)"
"Honey Glaze";"3003-2A";"#FFDD7A";"rgb(255, 221, 122)"
"Hint of Honey";"3005-1C";"#FFDE81";"rgb(255, 222, 129)"
"Almond Glaze";"3005-3C";"#FADB85";"rgb(250, 219, 133)"
"Yellow Chimes";"3011-1";"#FFDD5D";"rgb(255, 221, 93)"
"Golden Mist";"3007-1C";"#FBDD64";"rgb(251, 221, 100)"
"Late Day Sun";"3006-4A";"#F3DE97";"rgb(243, 222, 151)"
"Top Banana";"3008-1C";"#FAE17D";"rgb(250, 225, 125)"
"Soft Duckling";"3001-2A";"#FFD175";"rgb(255, 209, 117)"
"Lazy Sun";"3006-6A";"#FAD79E";"rgb(250, 215, 158)"
"Brushed Almond";"3004-4A";"#FED385";"rgb(254, 211, 133)"
"Golden Butter";"3002-1C";"#FFD277";"rgb(255, 210, 119)"
"Summer Wheat";"3004-1C";"#FFD979";"rgb(255, 217, 121)"
"Sunny Jonquil";"3010-1";"#FFD639";"rgb(255, 214, 57)"
"Golden Haze";"3006-1C";"#F8D866";"rgb(248, 216, 102)"
"Sweet Mustard";"3008-1B";"#FBD950";"rgb(251, 217, 80)"
"Pineapple Mousse";"3008-3C";"#F1D875";"rgb(241, 216, 117)"
"Island Sun";"3007-3C";"#EFDA86";"rgb(239, 218, 134)"
"Croissant";"3002-4A";"#F8CE8C";"rgb(248, 206, 140)"
"Dreamy Caramel";"3003-4A";"#F6CD8A";"rgb(246, 205, 138)"
"Maple Taffy";"3004-3C";"#FECA6D";"rgb(254, 202, 109)"
"Bask in the Glow";"2008-1C";"#F7CC7C";"rgb(247, 204, 124)"
"Golden Promise";"3003-1C";"#FFD052";"rgb(255, 208, 82)"
"Summer Gold";"3005-1B";"#FDD25D";"rgb(253, 210, 93)"
"Dandelion Chain";"3006-1B";"#F9D14C";"rgb(249, 209, 76)"
"Amber Pearl";"3006-3C";"#F3D57E";"rgb(243, 213, 126)"
"Tangy";"3008-1A";"#FBD12B";"rgb(251, 209, 43)"
"Golden Yellow";"3007-1B";"#FCD545";"rgb(252, 213, 69)"
"Delightful Moon";"3004-6A";"#EBC995";"rgb(235, 201, 149)"
"Pale Butter";"3003-3C";"#F4C77F";"rgb(244, 199, 127)"
"Elizabethan Yellow";"3009-1";"#FFC33E";"rgb(255, 195, 62)"
"Chickadee";"3002-1B";"#FFC34D";"rgb(255, 195, 77)"
"Golden Spell";"3004-1B";"#FEC540";"rgb(254, 197, 64)"
"Field of Daisies";"3003-1B";"#FFC843";"rgb(255, 200, 67)"
"Sweet Lemon";"3006-3B";"#F2C85E";"rgb(242, 200, 94)"
"Golden Delight";"3005-1A";"#FECA2A";"rgb(254, 202, 42)"
"Dijon";"3006-1A";"#F7C82F";"rgb(247, 200, 47)"
"Yellow Mustard";"3007-1A";"#FACD03";"rgb(250, 205, 3)"
"Golden Chime";"3006-5C";"#F0C282";"rgb(240, 194, 130)"
"Dandelion Wish";"3001-1B";"#FFBB46";"rgb(255, 187, 70)"
"Sunspark";"3010-2";"#FFBC2E";"rgb(255, 188, 46)"
"Gold Tone";"3001-1C";"#FFC14A";"rgb(255, 193, 74)"
"Cloudy Sunset";"3005-8A";"#E4C38E";"rgb(228, 195, 142)"
"Gold Abundance";"3003-1A";"#FFBB08";"rgb(255, 187, 8)"
