"Color Name";"Color Number";"Hex";"RGB"
"Yin Yang";"MP7477";"#777D96";"rgb(119, 125, 150)"
"Alcazar Brown";"MP11569";"#855C4E";"rgb(133, 92, 78)"
"Alton Brown";"MP2250";"#533F42";"rgb(83, 63, 66)"
"Anodized Black";"MP13338";"#4C2F30";"rgb(76, 47, 48)"
"Antler";"MP6720";"#B79882";"rgb(183, 152, 130)"
"Arabica Bean";"MP2833";"#7D583E";"rgb(125, 88, 62)"
"Baked Cumin";"MP7646";"#B69667";"rgb(182, 150, 103)"
"Bear Creek";"MP7050";"#836452";"rgb(131, 100, 82)"
"Beaver Creek";"MP6666";"#978067";"rgb(151, 128, 103)"
"Beige Frame";"MP12813";"#BDA890";"rgb(189, 168, 144)"
"Beigewood";"MP7621";"#9B8067";"rgb(155, 128, 103)"
"Bellaire Brown";"MP12808";"#391E1F";"rgb(57, 30, 31)"
"Brogan Brown";"MP11559";"#8A553C";"rgb(138, 85, 60)"
"Brown Bear";"MP555";"#4E3232";"rgb(78, 50, 50)"
"Brown Betty";"MP158";"#784D2F";"rgb(120, 77, 47)"
"Brown Bomber";"MP13306";"#6E3820";"rgb(110, 56, 32)"
"Brown County";"MP4991";"#956F54";"rgb(149, 111, 84)"
"Brown Ebony";"MP13799";"#55322E";"rgb(85, 50, 46)"
"Brown Shoe";"MP1077";"#5F4141";"rgb(95, 65, 65)"
"Brownian Motion";"MP13377";"#83675E";"rgb(131, 103, 94)"
"Camino";"MP6390";"#B4A290";"rgb(180, 162, 144)"
"Capilano Bridge";"MP10441";"#C1A47E";"rgb(193, 164, 126)"
"Cast Bronze";"MP7458";"#5A3D3D";"rgb(90, 61, 61)"
"Cattail Brown";"MP2808";"#8B6044";"rgb(139, 96, 68)"
"Chocolat Noir";"MP13335";"#5A3D3D";"rgb(90, 61, 61)"
"Chocolate Bliss";"MP10161";"#73544C";"rgb(115, 84, 76)"
"Chocolate Thunder";"MP11705";"#471600";"rgb(71, 22, 0)"
"Choconut";"MP554";"#564141";"rgb(86, 65, 65)"
