"Color Name";"Color Number";"Hex";"RGB"
"Cucumber Salad";"LF110-01";"#978E62";"rgb(151, 142, 98)"
"Tea Leaf";"LF100-02";"#66624B";"rgb(102, 98, 75)"
"Lime Song";"LF210-02";"#F6EEBA";"rgb(246, 238, 186)"
"Artichoke Heart";"LF160-01";"#E8DF99";"rgb(232, 223, 153)"
"Chameleon";"LF270-01";"#BEAF64";"rgb(190, 175, 100)"
"Green Of Spring";"LF270-02";"#9E903B";"rgb(158, 144, 59)"
"Lemon Ice";"LF220-01";"#F1ECC9";"rgb(241, 236, 201)"
"Yellow Green";"LF230-01";"#F1E99B";"rgb(241, 233, 155)"
"Liming";"LF230-02";"#E1DD73";"rgb(225, 221, 115)"
"Green Gone Wild";"LH270";"#CCC921";"rgb(204, 201, 33)"
"Shimmering Green";"LF170-01";"#E3DEA5";"rgb(227, 222, 165)"
"Lime Tart";"LF170-02";"#D0C58B";"rgb(208, 197, 139)"
"Pickling Spice";"LF120-01";"#99894A";"rgb(153, 137, 74)"
"Olivery";"LF120-02";"#8C7F44";"rgb(140, 127, 68)"
"Spring Breeze";"LF200-01";"#EEF0E3";"rgb(238, 240, 227)"
"Mint Ice Cream";"LG170-01";"#EAEBC3";"rgb(234, 235, 195)"
"Cucumber";"LF180-02";"#D0CA9A";"rgb(208, 202, 154)"
"Africa";"LF280-02";"#958F61";"rgb(149, 143, 97)"
"Garden Moss";"LF190-02";"#D5D1B2";"rgb(213, 209, 178)"
"Winter Grass";"LF130-02";"#958B6A";"rgb(149, 139, 106)"
"Olive Wood";"LF100-01";"#847D5F";"rgb(132, 125, 95)"
"Anchorage Jacket";"LF110-02";"#6F6A49";"rgb(111, 106, 73)"
"Dusty Miller";"LG190-01";"#EAEBE0";"rgb(234, 235, 224)"
"Healing Springs";"LF200-02";"#E9EAD3";"rgb(233, 234, 211)"
"Expedition";"LF280-01";"#A19D7C";"rgb(161, 157, 124)"
"Wild Jungle";"LF290-02";"#6A6E40";"rgb(106, 110, 64)"
"White Rocks";"LG200-01";"#EDF0DF";"rgb(237, 240, 223)"
"Whispering Aspens";"LG170-02";"#D7D9AB";"rgb(215, 217, 171)"
"Burnished Green";"LF250-02";"#BCBE84";"rgb(188, 190, 132)"
"Grapeyard Ridge";"LF290-01";"#919157";"rgb(145, 145, 87)"
"Mini Green";"LF240-01";"#EBEDB6";"rgb(235, 237, 182)"
"Sassy Lime";"LF240-02";"#E0E491";"rgb(224, 228, 145)"
"Wasabi Wash";"LF260-01";"#C6BF74";"rgb(198, 191, 116)"
"Better Lime";"LH280";"#929437";"rgb(146, 148, 55)"
"In Paradise";"LG210-01";"#ECF1D3";"rgb(236, 241, 211)"
"Basic Lime";"LF250-01";"#D3D7A0";"rgb(211, 215, 160)"
"Canteen";"LF260-02";"#B1B874";"rgb(177, 184, 116)"
"Farmer'S Road";"LG130-01";"#8A934E";"rgb(138, 147, 78)"
"California Avocado";"LG150-01";"#C3C6A5";"rgb(195, 198, 165)"
"Rosemary Plant";"LG150-02";"#A2A580";"rgb(162, 165, 128)"
"Cavern Moss";"LG120-02";"#79805A";"rgb(121, 128, 90)"
"Bamboo Jungle";"LG110-02";"#727155";"rgb(114, 113, 85)"
"Dried Lichen";"LF190-01";"#DDDCC4";"rgb(221, 220, 196)"
"Silver Fern";"LG180-02";"#D1D1BF";"rgb(209, 209, 191)"
"Combat Boots";"LG110-01";"#85846E";"rgb(133, 132, 110)"
"Yew Hedge";"LG100-02";"#656952";"rgb(101, 105, 82)"
"Celery Stick";"LG160-01";"#D5D8B0";"rgb(213, 216, 176)"
"Kiwi";"LG160-02";"#BEC297";"rgb(190, 194, 151)"
"Retro Lime";"LG140-01";"#989D67";"rgb(152, 157, 103)"
"Recycle Green";"LG130-02";"#677D41";"rgb(103, 125, 65)"
"Zion";"LG230-02";"#C4CBB3";"rgb(196, 203, 179)"
"Avocado Mask";"LG120-01";"#8E946C";"rgb(142, 148, 108)"
"Groovy Green";"LG140-02";"#848759";"rgb(132, 135, 89)"
"June Moss";"LG100-01";"#72754B";"rgb(114, 117, 75)"
"Birdcage";"LG200-02";"#E4EECE";"rgb(228, 238, 206)"
"Garden Statue";"LG210-02";"#E2EDC1";"rgb(226, 237, 193)"
"Vitality";"LG250-02";"#92A15F";"rgb(146, 161, 95)"
"Emerald Shimmer";"LG270-01";"#6F8A45";"rgb(111, 138, 69)"
"Forest Light";"LG220-01";"#E1E9D1";"rgb(225, 233, 209)"
"Tree Line";"LG240-01";"#CADF99";"rgb(202, 223, 153)"
"Green Flash";"LG240-02";"#B8D280";"rgb(184, 210, 128)"
"Bamboo Forest";"LG260-02";"#768453";"rgb(118, 132, 83)"
"Clear Creek";"LG230-01";"#DAE1CA";"rgb(218, 225, 202)"
"Melon Extract";"LG220-02";"#D9E6BB";"rgb(217, 230, 187)"
"Succulent Garden";"LG250-01";"#B7CA90";"rgb(183, 202, 144)"
"Fresh Moss";"LG260-01";"#889567";"rgb(136, 149, 103)"
"Wild Lettuce";"RG240-01";"#B2CDAB";"rgb(178, 205, 171)"
"Plant Stem";"LG280-01";"#66824E";"rgb(102, 130, 78)"
"Pickle Juice";"LG270-02";"#5A7345";"rgb(90, 115, 69)"
"Organic Garden";"LG280-02";"#637250";"rgb(99, 114, 80)"
"Budding Green";"RG190-02";"#C9E0C5";"rgb(201, 224, 197)"
"Polished Jade";"RG210-01";"#BCDDBC";"rgb(188, 221, 188)"
"Calming Sensation";"RG210-02";"#ADCEAA";"rgb(173, 206, 170)"
"Homegrown Herbs";"LH290";"#5E8548";"rgb(94, 133, 72)"
"Celadon Vase";"LG190-02";"#DBE1D2";"rgb(219, 225, 210)"
"Apple Martini";"RG220-01";"#B3E1B3";"rgb(179, 225, 179)"
"Vivid Lime";"RH100";"#52A84C";"rgb(82, 168, 76)"
"Watered Grass";"RH110";"#458642";"rgb(69, 134, 66)"
"Seafoam Blanket";"RG200-02";"#D2DECF";"rgb(210, 222, 207)"
"Iguana";"RG220-02";"#95D3A3";"rgb(149, 211, 163)"
"Wheatgrass";"RG240-02";"#81B589";"rgb(129, 181, 137)"
"Magical Hummingbird";"RH120";"#2B834C";"rgb(43, 131, 76)"
"Creamy Mint";"RG190-01";"#D7E7DC";"rgb(215, 231, 220)"
"Wild Thyme";"RG270-01";"#85A183";"rgb(133, 161, 131)"
"Bitter Arugula";"RG270-02";"#6A886F";"rgb(106, 136, 111)"
"Tropical Foliage";"RG290-01";"#3C5F4E";"rgb(60, 95, 78)"
"Bleached Cypress";"RG230-01";"#B2CBBE";"rgb(178, 203, 190)"
"Winchester Green";"RG230-02";"#89A699";"rgb(137, 166, 153)"
"Serrano Pepper";"RG110-02";"#356253";"rgb(53, 98, 83)"
"Deep Spruce";"RG290-02";"#39544B";"rgb(57, 84, 75)"
"Sage Pond";"RG260-01";"#A6B5AC";"rgb(166, 181, 172)"
"Bayfront Palm";"RG260-02";"#8DA091";"rgb(141, 160, 145)"
"Culinary Herbs";"RG280-01";"#5A6C5F";"rgb(90, 108, 95)"
"Alpine Valley";"RG280-02";"#425649";"rgb(66, 86, 73)"
"Julep";"RG170-01";"#CCE4D6";"rgb(204, 228, 214)"
"Green Countryside";"RG250-01";"#A8CEB6";"rgb(168, 206, 182)"
"Fragrant Herbs";"RG120-01";"#80B09A";"rgb(128, 176, 154)"
"Forest Found";"RG110-01";"#46836E";"rgb(70, 131, 110)"
"Green Icing";"RG170-02";"#B5DAC2";"rgb(181, 218, 194)"
"Caesar Salad";"RG250-02";"#9CCDAC";"rgb(156, 205, 172)"
"Bejewelled";"RH130";"#239A6D";"rgb(35, 154, 109)"
"Pop Of Green";"RH140";"#24896A";"rgb(36, 137, 106)"
"Jade Sea";"RG160-01";"#C2E1D5";"rgb(194, 225, 213)"
"Green Surf";"RG160-02";"#ACDAC9";"rgb(172, 218, 201)"
"Emerald Stream";"RG120-02";"#5F9E88";"rgb(95, 158, 136)"
"Argyll";"RG100-02";"#346558";"rgb(52, 101, 88)"
"Beach Toy";"RG140-02";"#6ACABA";"rgb(106, 202, 186)"
"Spearmint Leaf";"RG130-02";"#75B9AE";"rgb(117, 185, 174)"
"Tahitian Green";"RF280-01";"#64A69F";"rgb(100, 166, 159)"
"Teal Green";"RG100-01";"#36746C";"rgb(54, 116, 108)"
"Polished Turquoise";"RG140-01";"#96DFD4";"rgb(150, 223, 212)"
"Miss Golightly";"RG150-02";"#83D4CA";"rgb(131, 212, 202)"
"Celadon Plate";"RG130-01";"#8BC7C0";"rgb(139, 199, 192)"
"Deep Teal";"RH150";"#1FA497";"rgb(31, 164, 151)"
"Sheer Silhouette";"RB210-01";"#CBD6E5";"rgb(203, 214, 229)"
"Lyrical Poetry";"RB210-02";"#B3C3DF";"rgb(179, 195, 223)"
"Never Blue";"RC190-02";"#8BA6CB";"rgb(139, 166, 203)"
"Darkening Sky";"RH230";"#3E5382";"rgb(62, 83, 130)"
"Delicate Blue";"RC170-01";"#A2BBDA";"rgb(162, 187, 218)"
"Lake Periwinkle";"RC170-02";"#7E9EC5";"rgb(126, 158, 197)"
"Azurite";"RC110-01";"#4E71A6";"rgb(78, 113, 166)"
"Best In Class";"RB290-02";"#434E71";"rgb(67, 78, 113)"
